SNAPSHOT	DOCUMENTED	COMMIT NOTES
989	NO	clientgen.c: Changes 'cli_xxx_' calls to use the following regularized parameter syntax:     setup  setup_count  max_setup_count     params  params_count  max_params_count     data  data_count  max_data_count   (and if a reply is needed)     *reply_params  *reply_data_len    *reply_data  *reply_data_len  This allows the pointers and the lengths that relate to these pointers to be next to each other in the parameter list. This makes seeing what you are passing to these functions much easier to see.  Getting ready for adding the lib/rpc/client functions needed to do security=domain.  torture.c: Fixed it so it uses / rather than \\ internally for the //machine/share syntax.  Jeremy. 
990	YES	includes.h: Added John's redhat fix for QSORT_CAST. smbpass.c: Added lock depth code so calls to pw_file_lock() can be nested.            Fixed codedump problems in add_smbpwd_entry(). smbpasswd.c: Removed all the code that manipulated the password file              directly. Now *all* smbpasswd file changes are done through              the interfaces defined in smbpass.c This should make              the life of people adding alternate backend databases              *much* easier. lib/rpc/server/srv_netlog.c: Removed debug messages used to debug                              machine password changing. Jeremy. 
998	YES	 improved the secret buffer generation a bit. It now uses /etc/shadow and smbpasswd if possible  and doesn't put it all through a 32 bit bottleneck. 
1000	YES	genrand.c: Improved generation of random values  more secure. loadparm.c: Started add of 'security=domain' code. password.c: Fix for security=server NT bugs. reply.c: Started add of 'security=domain' code. server.c: Started add of 'security=domain' code. smb.h: Started add of 'security=domain' code. Jeremy. 
1003	YES	clientgen.c: Added rap error codes to cli_error  moved from smbpasswd.c password.c: Changed global cli -> pw_cli  removed strtok (bad strtok  bad :-) use in security=server  started to extend security=domain code. smbpasswd.c: Removed rap error code functions. Jeremy. 
1005	NO	These don't compile yet - but they are the core code in what will be DOMAIN_CLIENT called code. Jeremy. 
1009	NO	"This looks like a big change but really isn't. It is changing the global variables ""myname"" and ""myworkgroup"" to ""global_myname"" and ""global_myworkgroup"" respectively.  This is to make it very explicit when we are messing with a global (don't ask - it makes the domain client code much clearer :-).  Jeremy. "
1010	NO	First version that compiles. Much more to do..... Jeremy. 
1013	YES	This is the checkin that adds the security=domain functionality.  WARNING - so far this has only been tested against a Samba PDC (still waiting for IS to add me the machine accounts :-).  Still missing is the code in smbpasswd that will add a machine account password and change it on the domain controller  but this is not hard  and I will check it in soon.  Jeremy. 
1020	YES	Rolling clitar.c back to the previous rev 1.22 as the current one needs fixing (sorry). Jeremy. 
1021	YES	genrand.c: SGI compile warning fix. ipc.c: Fix for duplicate printer names being long. loadparm.c: Set bNetWkstaUserLogon to false by default - new code in password.c protects us. nmbd_logonnames.c: nmbd_namequery.c: nmbd_namerelease.c: Debug messages fix. password.c: SGI compile warning fix  fix for tcon() with bNetWkstaUserLogon call. reply.c: SGI compile warning fix. server.c Debug messages fix. smbpass.c: Fix for incorrect pointer. Jeremy. 
1022	YES	Fixes for the %U and %G problems people have reported. Essentially  multiple session_setup_and_X's may be done to an smbd. As there is only one global variable containing the requested connection name (sessionsetup_user)  then any subsequent sessionsetups overwrite this name (causing %U and %G to get the wrong name). This is particularly common when an NT client does a null session setup to get a browse list after the user has connected  but before a share has been mounted.  These changes store the requested_name in the vuid structure (so this only really works for user level and above security) and copies this name back into the global variable before the standard_sub call.  Jeremy. 
1027	NO	Rolling back again to the equivalent of revision 1.22  as the current CVS head branch will not compile. Jeremy. 
1035	YES	 remove unused ldap functions: add stub start/get/endldappwent routines. 
1043	NO	" proto.h was being a pain.  use ""make proto"" instead.  check release and release-alpha scripts operate correctly when it comes to generating a release or alpha release. "
1048	YES	 changed to use slprintf() instead of sprintf() just about everywhere. I've implemented slprintf() as a bounds checked sprintf() using mprotect() and a non-writeable page.  This should prevent any sprintf based security holes. 
1049	YES	changed to use slprintf() instead of sprintf() just about everywhere. I've implemented slprintf() as a bounds checked sprintf() using mprotect() and a non-writeable page.  This should prevent any sprintf based security holes. 
1052	YES	  ldap back-end database development  Makefile:  
1056	YES	This is a security audit change of the main source. It removed all ocurrences of the following functions :  sprintf strcpy strcat  The replacements are slprintf  safe_strcpy and safe_strcat.  It should not be possible to use code in Samba that uses sprintf  strcpy or strcat  only the safe_equivalents.  Once Andrew has fixed the slprintf implementation then this code will be moved back to the 1.9.18 code stream.  Jeremy. 
1057	YES	a new slprintf() function. This one is totally portable but a bit of a kludge. It is a safe kludge with our current code but I would like to revisit it at some point in the future.  The problem with the one I committed yesterday is it used non-portable functions. (it also had a bug in it  but that's another matter)  This one works by just using vsprintf() into a 8k buffer and a memcpy from there. No memory protection tricks or other non-portable stuff. This is safe because all calls to slprintf() in samba use strings which have been through a pstrcpy and thus are less than 1024 bytes. No call uses more than 2 of these strings. See what I mean by kludge? Note that the 8k is way overkill but I like overkill :)  Someday (after autoconf) we will replace this with something better  but meanwhile this is simple  secure and portable. 
1058	NO	 retired this file: it's not actually needed now that passdb.c provides the interface point. 
1061	YES	 - removed ldap_get_trust()  - #ifdef around putting 16 byte hashes instead of plaintext password. 
1072	YES	passdb.c server.c: Moved generate_machine_sid() into passdb.c for Jean-Francois           (who might want an LDAP version). Changed locking to free exclusive           lock as soon as possible to prevent contention. lib/rpc/parse/parse_samr.c lib/rpc/server/srv_samr.c: Changed last SID-as-string manipulation                            function to use DOM_SID structure. Jeremy. 
1078	NO	 Makefile:  
1080	YES	" - renamed some of the passdb.c functions: they have a prefix pdb_ on them  - split smbpass.c ""password file lock"" routines into smbpassfile.c: moved   trust account routines into smbpassfile.c as well "
1088	YES	chgpasswd.c: Changed back to getsmb... from getsam... ldap.c: Stoped dummy_function being prototyped. loadparm.c: Fixed slprintf sizes. nisppass.c: Fixed safe_strcpy sizes. nmbd_processlogon.c: Changed back to getsmb... from getsam... nttrans.c: Just a dump of new code. passdb.c: Moved stuff around a lot - stopped any lookups by rid. This           needs to be indirected through a function table (soon). password.c: Changed back to getsmb... from getsam... reply.c: Changed back to getsmb... from getsam... slprintf.c: Fixed prototype problems. smb.h: Fixed prototype problems. smbpass.c: Changed to getsmbfile.... smbpasswd.c: Changed back to getsmb... from getsam... lib/rpc/server/srv_netlog.c: Changed back to getsmb... from getsam... lib/rpc/server/srv_samr.c: Fixed rid lookup - use uid or gid lookup. lib/rpc/server/srv_util.c: Changed back to getsmb... from getsam... Jeremy. 
1096	YES	passdb.c: Fixed typo in coment. smb.h: Removed comments no longer valid. smbpass.c: Stopped dummy function from being prototyped. util.c: Fix for multibyte char problems with strlower  strupper and string_replace. Jeremy. 
1105	NO	Along the lines that Andrew suggested  I added a header called ubi_null.h. This header tries four different locations for a definition of NULL.  If NULL still hasn't been found  it defaults to ((void *)0).  All of the includes can be  essentially  overridden by defining NULL on the command line  as in -DNULL=((void *)0).  I have faith that this will avoid the problem of NULL being in different places on different systems.  If there is a system out there that doesn't define NULL in any of the headers I've included  then let me know *where* it's defined and I'll add another header.  Chris -)----- 
1106	YES	printing.c: Fixed overflow by one problem in LPRng. reply.c: Fixed password length modifiers to always be done          is none-encrypted mode used. This fixes Samba for          people who are using non-encrypted passwords with          security=server. Jeremy. 
1113	NO	 doesn't compile: don't care.  checking this in so people can see what's going on. 
1119	NO	smb.h: More NT SMB stuff (just defines). smbpass.c: Do *NOT* make this function static. It breaks the compile on gcc util.c: Getting closer to MS wildcard semantics. A trailing '*' matches         any trailing dot-separated components. trans2.c: Removed hacks that change multiple '?' -> '*' as this           breaks things now. trans2.h: Removed NT_FILE_ATTRIBUTE_NORMAL - now FILE_ATTRIBUTE_NORMAL is defined           in smb.h. Jeremy. 
1120	YES	loadparm.c: Added machine password timeout parameter - set to 7 days be default. password.c: Added code to tell server.c when machine password needs changing. server.c: Change machine password in idle cycles if it needs it. smbpassfile.c: Fixed up length calculations for machine password file. smbpasswd.c: Moved domain joining code/machine password changing code. lib/rpc/client/cli_netlogon.c: And this is where it now lives. Jeremy. 
1124	NO	Added Paul Eggerts LocalTime patch. Jeremy. 
1128	YES	ipc.c: Fix bug where we don't return the correct error code when client        gives a too-small buffer for share info. Fix from Gil Kloepfer <gil@arlut.utexas.edu> smb.h: server.c: Fix for a nastly little security problem with multi-user Windows NT           servers and Samba where the contents of the open-file cache can end           up being served out to users who shouldn't have access. This is some           *seriously* ugly code. Jeremy. 
1145	YES	Minor changes as I've now discovered gcc -pedantic-errors. This does the signed/unsigned warnings I've been missing. Jeremy 
1148	NO	ipc.c: map_username is now a BOOL function. reply.c: map_username is now a BOOL function. server.c: Added capability to do map_username on service names           when looking for a home directory. That's what the           original code would do. lib/rpc/server/srv_util.c: Changed domain_ to builtin_ for                            BUILTIN aliases. username.c: Work in progress on groupname map parameter. Jeremy 
1150	YES	Makefile: Added ubi_sLinkList.o as the groupname.o file needs it. Added groupname.o includes.h: Added ubi_sLinkList.h include. loadparm.c: Added groupname map parameter. password.c: Fix HPUX big_crypt. username.c: New user_in_list() code. Moved groupname map code to groupname.c lib/rpc/server/srv_util.c: Added lookup_wellknown_sid_from_name().  New groupname map stuff. Note that nothing currently uses this but at compiles ok.  Jeremy. 
1163	YES	clitar.c: Fixed gcc warning with comment in /* */ code. nmbd_winsserver.c: Remember to free packet in multi-homed register code.                    Use correct query_name_from_wins_server call instead of                    query_name call in multihomed code. Jeremy. 
1181	NO	nttrans.c: More NT SMB stuff. reply.c: Broke out the internals of reply_mv so that they may be called          externally from the NT transact rename. server.c: Changed stat calls to sys_stat - found in code review           of bugfix. Jeremy. 
1198	NO	Converted the browser database to a ubi_dLinkList.  This should reduce code size  etc.  Also did a bit of work to add comments. Chris -)----- 
1214	NO	merge from the autoconf2 branch to the main branch 
1223	NO	This is the checkin of the debug changes.    Makefile.in:  I've added debug.o.   proto.h    :  Rebuilt  as is standard for these sorts of things.   smb.h      :  New macros  etc.   util.c     :  Debug code removed.  I'll check in debug.c in the next step.  Chris -)----- 
1227	NO	This is the remaining set of changes needed to replace the changes lost when Andrew and I were both working with util.c.  I really don't know how I lost the autoconfigure changes (honest  I *did* run frequent updates).  Chris -)----- 
1237	NO	this gets smbd compiling and linking correctly with the new layout. 
1244	NO	split the system password checking routines out of smbd/password.c and into passdb/pass_check.c. This means SWAT no longer needs to link to smbd/password.c 
1245	NO	moved access.c into lib/ from smbd/ as it is needed by testparm. I modified it not to need any smbd specific structures and instead pass things from smbd. 
1267	YES	this is the bug change to using connection_struct* instead of cnum. Connections[] is now a local array in server.c  I might have broken something with this change. In particular the oplock code is suspect and some .dll files aren't being oplocked when I expected them to be. I'll look at it after I've got some sleep. 
1285	NO	 now that we have no global arrays we can start to split up the monster server.c without breaking things.  this splits off netprot.c and fileio.c for negprot and read/write/seek handling respectively. 
1286	NO	more splitting of server.c  created dosmode.c and filename.c 
1287	NO	this completes the splitup of server.c.  the splitup was done with an axe  not a scalpel  so there are some rough edges. I mostly wanted to get the general form right with fine tuning of what goes where to come later. Still  this is better than what we had before where server.c was a general repository for anything that didn't fit elsewhere. 
1327	YES	changed the size of a char array in the userdata_struct from 1 to 16 to account for padding/alignment issues. Eventually I'd like to find a way to get rid of this construct altogether as it is a bit error prone and hard to debug.  also added a new macro:  ZERO_STRUCTP() that takes a pointer to a structure and zeros the structure. Used in nmbd to zero allocated structures before freeing them to try to catch bugs a bit faster. 
1352	YES	More abstraction of file system data types  to move to a 64 bit file interface for the NT SMB's.  Created a new define  SMB_STRUCT_STAT that currently is defined to be struct stat - this wil change to a user defined type containing 64 bit info when the correct wrappers are written for 64 bit stat()  fstat() and lstat() calls.  Also changed all sys_xxxx() calls that were previously just wrappers to the same call prefixed by a dos_to_unix() call into dos_xxxx() calls. This makes it explicit when a pathname translation is being done  and when it is not.  Now  all sys_xxx() calls are meant to be wrappers to mask OS differences  and not silently converting filenames on the fly.  Jeremy. 
1360	YES	Ok - this is the 64 bit widening check in. It changes the configure to check for stat64 and friends  and then changes much of Samba to use the data type SMB_OFF_T for file size information.  stat/fstat/lstat/lseek/ftruncate have now become sys_stat etc. to hide the 64 bit calls if needed.  Note that this still does not expose 64 bit functionality to the client  as the changes to the reply_xxx smb's are not yet done.  This code change should make these changes possible.  Still to do before full 64 bit-ness to the client:  fcntl lock code. statfs code widening of dev_t and ino_t (now possible due to SMB_DEV_T and SMB_OFF_T types being in place).  Let me know if wierd things happen after this check-in and I'll fix them :-).  Jeremy. 
1367	YES	"tridge the destroyer returns!  prompted by the interpret_security() dead code that Jean-Francois pointed out I added a make target ""finddead"" that finds potentially dead (ie. unused) code. It spat out 304 function names ...  I went through these are deleted many of them  making others static (finddead also reports functions that are used only in the local file).  in doing this I have almost certainly deleted some useful code. I may have even prevented compilation with some compile options. I apologise. I decided it was better to get rid of this code now and add back the one or two functions that are needed than to keep all this baggage.  So  if I have done a bit too much ""destroying"" then let me know. Keep the swearing to a minimum :)  One bit I didn't do is the ubibt code. Chris  can you look at that? Heaps of unused functions there. Can they be made static? "
1392	YES	"configure configure.in: Added checks for statvfs64. Last bit of 64 bit widening (I hope :-). include/config.h.in: Added #undef STAT_STATVFS64. include/includes.h: Added SMB_STRUCT_STATVFS type  Changed SMB_BIG_INTEGER to                     SMB_BIG_UINT and SMB_BIG_INT types. include/smb.h: Added flag defines from CIFS spec. lib/debug.c: Fixed one more mode_t issue. lib/system.c: Added sys_statvfs wrapper. lib/util.c: Changed trim_string to use size_t. param/loadparm.c: Moved ""blocking locks"" into locking section. Alphabetised                   locking options. Question - shuld we do this for all options ? passdb/ldap.c: Changed SMB_BIG_INTEGER to SMB_BIG_UINT. passdb/nispass.c: Changed SMB_BIG_INTEGER to SMB_BIG_UINT. passdb/smbpass.c: Changed SMB_BIG_INTEGER to SMB_BIG_UINT. smbd/dfree.c: Changed to use 64 bit types if available. Moved to use unsigned               types. smbd/dosmode.c: Fixed one more mode_t issue. smbd/negprot.c: Changed literals to be FLAG_ #defines. smbd/nttrans.c: Removed dead code. smbd/open.c: Changed disk_free call. smbd/process.c: Changed literals to be FLAG_ #defines. smbd/reply.c: Changed disk_free call. smbd/trans2.c: Fixed but in SMB_QUERY_FS_VOLUME_INFO call. Was using                UNICODE - should use ascii. tests/summary.c: Added STAT_STATVFS64 check. Jeremy. "
1432	YES	Integration of Anders Blomdell <anders.blomdell@control.lth.se>'s smbpasswd changes. Not exactly the same as his code - several changes. Jeremy. 
1434	NO	not needed. 
1435	NO	added rpcclient program 
1436	NO	added wksinfo command to rpcclient  which don't work too good. 
1437	YES	"added in samr commands.  assistance in returning the missing functions  automatically removed because they were ""unused""  would be appreciated. "
1442	YES	Makefile.in: Fixed bug with continuation line causing proto to fail.              Added $(PROGS) $(SPROGS) as targets for make clean. acconfig.h: Added HAVE_IRIX_SPECIFIC_CAPABILITIES. configure.in: Added sys/capability.h header check.               Added function checks for srandom random srand rand.               Added HAVE_IRIX_SPECIFIC_CAPABILITIES test. includes.h: Added #include <sys/capability.h>. ntdomain.h: Moved struct acct_info into here from smb.h smb.h: Added KERNEL_OPLOCK_CAPABILITY define.        Moved enum action_type into rpcclient.h        Moved struct cli_state into client.h        Moved struct nt_client_info  struct tar_client_info  struct client_info              into rpcclient.h lib/genrand.c: Changed to use sys_random() & friends. lib/smbrun.c: Lose capabilities after fork. lib/system.c: Added set_process_capability()  set_inherited_process_capability()               sys_random()  sys_srandom(). lib/util.c: Added Ander's EFBIG lock check to fcntl_lock for 64 bit access to an             32 bit mounted NFS filesystem. nmbd/nmbd.c: Changed to use sys_random() & friends. nmbd/nmbd_browsesync.c: Changed to use sys_random() & friends. passdb/ldap.c: Missed one pdb_encode_acct_ctrl call. passdb/passdb.c: Changed to Ander's code for ' ' characters. passdb/smbpass.c: Added Ander's code to reset ACB_PWNOTREQ. script/mkproto.awk: Added 'long' to prototypes. smbd/chgpasswd.c: Lose capabilities after fork. smbd/open.c: Do the mmap *after* the kernel oplock. smbd/oplock.c: Removed stub code from kernel oplock path.                Added set_process_capability()  set_inherited_process_capability() calls. smbd/reply.c: Initialize count = 0  offset = 0. smbd/server.c: Added set_process_capability()  set_inherited_process_capability() calls. tests/summary.c: Ensure we have RANDOM or RAND. utils/smbpasswd.c: Added Ander's code to reset ACB_PWNOTREQ. utils/torture.c: Changed to use sys_random() & friends.  Jeremy. 
1457	YES	got rid of the memcpy() prototype and used includes.h instead.  gcc has a built-in memcpy which conflicts with the prototype. 
1488	YES	 Makefile.in :  
1515	NO	simplied the layout of the smbwrapper code. All those 3 line files were getting unwieldy 
1537	NO	"drat. We can't include sys/fcntl.h because that gives conflicts. Instead use ""01101"" for O_CREAT|O_WRONLY|O_TRUNC.  uggh. "
1547	NO	got rid of all assembly code and gcc special features. I'm hoping to get smbsh working with the normal sun compiler 
1550	NO	ported smbwrapper to SunOS4. It seems to work. pity so many binaries on my SunOS box are statically linked. 
1578	NO	- no getdents on OSF1 - try a new method of handling prototype mismatches in wrapped.c. We   now try to disable prototypes! 
1580	NO	more OSF1 changes as well as changes to allow us to use the standard includes.h in wrapped.c  thus making porting much simpler 
1584	NO	yet another attempt at making this stuff portable. This time I use minimal includes in wrapped.c 
1618	NO	dce/rpc 
1631	YES	getpwnam() failing is a serious error (corrupt smbpasswd database) 
1632	NO	rpcclient interactive login (with trust account changing if you are root) cli_session_setup handles null sessions correctly 
1640	NO	rpc client mods (ntlmssp flags) 
1656	YES	- don't use env variables for passwords and usernames (yeah!) - added a shared variable area based on a unlinked open file  and   implement a general get/set interface to it - cache hostname lookups and master ip lookups in shared variable area 
1660	NO	improved session reestablishment 
1661	NO	added command line options to smbsh 
1662	YES	"- dce/rpc code  - removed debug info in struni2 and unistr2 (security risk)  - rpc_pipe function was getting pointer to data then calling realloc *dur*  - password check function  the start of ""credential checking""    user  wks  domain  pass as the creden"
1667	YES	removed setenv()  replaced with smbw_setenv() 
1675	YES	signed / unsigned warnings (found by herb). how do i switch on these warnings in gcc????? 
1687	YES	libsmb/smbdes.c: #ifdef'ed out code prior to removal. rpc_client/cli_pipe.c: Inlined code removed from smbdes.c rpc_server/srv_samr.c: Fixed unused variable warning. rpc_server/srv_util.c: Inlined code removed from smbdes.c  Luke - the above changes are the first part of the changes you and I discussed as being neccessary at the CIFS conference. *PLEASE REVIEW THESE CHANGES* - make sure I haven't broken any of the authenticated DCE/RPC code.  smbd/nttrans.c: Fixed to allow NT5.0beta2 to use Samba shares                 with NT SMB support. smbd/open.c: Fixed mkdir when called from nttrans calls. smbd/server.c: Set correct size for strcpy of global_myworkgroup.  Jeremy. 
1692	NO	Removed previously #ifdef 0 'ed code. Jeremy. 
1699	YES	fixed problems with PWD - we no longer use the PWD env variable instead the shared variable area is used.  this fixes problems with /bin/sh under solaris 
1719	YES	added a vsnprintf() implementation from cvslock. See the notes on the license at the top of lib/snprintf.c  I've always been slightly uneasy about our half-baked vslprintf() implementation and the risks on platforms that don't have vsnprintf() so when I saw this code in another GPLd package I wanted it for Samba. 
1729	YES	Fixes to allow this to pass SGI compiler in -fullwarn mode (with one annoying exception I'm still looking at :-). Jeremy. 
1731	NO	Just moving things around a bit.  Chris -)----- 
1746	NO	Added scripting option (-s) to smbpasswd. Jeremy. 
1755	NO	converted smbclient to use clientgen.c rather than clientutil.c  I did this when I saw yet another bug report complaining about smbclient intermittently missing files. Rather than applying more patches to smbclient it was better to move to the more robust clientgen.c code.  The conversion wasn't perfect  I probably lost some features of smbclient while doing it  but at least smbclient should be consistent now. It if fails it should _always_ fail rather than giving people the false impression of a reliable utility.  the tar stuff seems to work  but hasn't had much testing as I never use it myself. I'm sure someone will find bugs in my conversion of smbtar.c. It was quite tricky as it did a lot of its own SMB calls. It now uses clientgen.c exclusively.  smbclient is still quite messy  but at least it doesn't build its own SMB packets.  I haven't touched smbmount as I never use it. Mike  do you want to convert smbmount to use clientgen.c? 
1760	NO	util functions split into relevant modules  first pass. 
1761	NO	rpcclient registry commands. 
1783	YES	Moved some code (NTLMSSPcalc) out of smbdes and inline for paranioa resons and my own piece of mind... Jeremy. 
1786	YES	extracted the password change code from smbpasswd and used it in swat instead of opening pipes and other horrible stuff. 
1791	YES	cleaning up conflicts between group code not yet committed and changes from yesterday by me  jeremy and andrew.  jeremy  your ACB_PWNOTREQ mod would have caused a crash if the user didn't exist (first check should be for smb_pass != NULL) 
1815	YES	remove code that allows installation via cgi  swat will now give an error message if run via cgi 
1831	YES	"- group database API.  oops and oh dear  the threat has been carried out:   the pre-alpha ""domain group"" etc parameters have disappeared.  - interactive debug detection  - re-added mem_man (andrew's memory management  detects memory corruption)  - america"
1836	NO	Added the same open()/fopen()/creat()/mmap() -> sys_XXX calls.  Tidied up some of the mess (no other word for it). Still doesn't compile cleanly. There are calls with incorrect parameters that don't seem to be doing the right thing.  This code still needs surgery :-(.  Jeremy. 
1876	YES	Makefile.in: Added maintainer mode fixes. aclocal.m4: Added AC_LIBTESTFUNC. configure.in: Fixed -lsecurity -lsec problems. client.c: dos_ fixes. groupdb/aliasunix.c: Dead code removal. include/includes.h: Added default PRINTCAP_NAME. lib/genrand.c: dos_ fixes. lib/replace.c: Added strtoul. lib/system.c: dos_ fixes. lib/util.c: dos_ fixes. lib/util_sid.c: Signed/unsigned fixes. lib/util_str.c: removed bad const. locking/locking_slow.c: dos_ fixes. printing/printing.c: dos_ fixes. rpc_server/srv_samr.c: Dead code removal. rpc_server/srv_sid.c: global_myworkgroup defined with wrong size AGAIN ! smbd/dir.c: dos_ fixes. smbd/open.c: dos_ fixes. smbd/oplock.c: dos_ fixes. smbd/reply.c smbd/server.c smbd/service.c smbd/uid.c: dos_ fixes.  Jeremy. 
1886	NO	retired two modules to preserve their cvs history. added their replacements  added sam password database API modules 
1949	NO	trying to track down issues in get_home_dir(). 
1958	NO	Added some debugging to clitar ... 
1959	NO	Fixed problems in debug code because I did not compile first :-( 
1985	YES	removed encrypt-password code pre-cli_session_setup()  session setup fn decides whether to encrypt password or not. 
2015	YES	"UNICODE cleanup (see lib/util_unistr.c).  No more ugly static library buffers and all functions take a destination string length (especially unistrcpy was rather dangerous; we were only saved by the fact that datagrams are limited in size). "
2067	YES	querysecret now shows the real  fairdinkum  decrypted secret :-) 
2077	YES	Another UNICODE issue - this time BUFFER2 was being transmitted incorrectly. 
2117	YES	Changed calls to strncat() to safe_strcat().  Fix from SAMBA_2_0 branch. 
2131	YES	Removed unused vfs_read_data() function at the request of tridge.  Removed unnecessary SSL stuff from vfs_write_data(). 
2153	NO	last part of RPC api change.  and of rpcclient eventlog funtion  
2156	NO	"Jani Jaakkola's ""getpwuid() / getpwnam()"" hash-cache-hack "
2165	NO	Some more BDC-related fixes  mainly to the NET_SAM_SYNC RPC with respect to alignment  missing fields  etc. - it should now work correctly. There is still the problem of decoding the private data field. 
2178	YES	improving authentication code (tidyup). 
2179	YES	"smbclient modified to use cli_establish_connection().  smbclient therefore now uses improved authentication.  smbclient now ""broken"" for ""scripts"" based on DEBUG() output.  cli_establish_connection() requires modification to support old scripts. "
2180	NO	removed old code/comments. 
2207	YES	removed strncpy() 
2282	NO	split matthew's sync command (only currently called from smbpasswd) into a separate module 
2295	YES	- added rudimentary CAP_UNICODE support because i thought it was part of a problem i was having.  - added rudimentary CAP_STATUS32 support for same reason.  - added hard-coded  copy-the-same-data-from-over-the-wire version of CAP_EXTENDED_SECURITY  which 
2296	YES	adding CAP_EXTENDED_SECURITY support in a hurry last week.  forgot to deal with linking issues in other binaries 
2313	YES	various.  debug levels changed.  nmbd doesn't need libsmb/clienttrust.c. samr_lookup_rids() moved to a dynamic memory structure not a static one limited to 32 RIDs.  cli_pipe.c reading wasn't checking ERRmoredata when DOS error codes negotiated (this terminates MSRPC code with prejudice). 
2338	NO	general  drastic improvements to rpcclient.  added samgroup <groupname> command added samgroupmem <groupname> command  added proper registry key completion  added sam command user-completion (e.g samuser [tab])  added sam command group-completion (e.g samgroup [tab]) 
2387	NO	added \PIPE\browser plus experimental brsinfo command.  you wouldn't believe the XXXX that MIGHT be involved in getting nt5rc2 to join a samba domain... 
2393	NO	doing a code reshuffle.  want to add code to establish trust relationships. 
2405	NO	another two. 
2422	NO	whoa.  _major_ restructure of rpcclient.  fixed some buuugs  created a few. found out that getopt() _must_ have optind set to 0 before reuse.  still haven't decided what to do with the net* api yet... 
2426	NO	further abstraction involving client states.  main client-side code is pretty much independent of SMB client states  which will make it easier to add other transports. 
2437	NO	first attempt at getting \PIPE\NETLOGON working.  it's pretty horrible. 
2445	NO	split display.c into modules. 
2447	YES	1) when no domain used in ntlogin test command  should use default one    from previous lsaquery command.  over-ridden from DOMAIN\username  2) initialisation of cli_state is a little more specific: sets use_ntlmv2    to Auto.  this can always be over-ridden.  3) fixed reusage of ntlmssp_cli_flgs which was being a pain  4) added pwd_compare() function then fixed bug in cli_use where NULL    domain name was making connections multiply unfruitfully  5) type-casting of mallocs and Reallocs that cause ansi-c compilers to bitch 
2449	NO	fixing joining to domain plus something weird going down with nt logins... 
2482	YES	the first independent msrpc daemon - lsarpcd.  one horrible cut / paste job from smbd  plus a code split of shared components between the two.  the job is not _yet_ complete  as i need to be able to do a become_user() call for security reasons.  i picked lsarpcd first because you don't _need_ security on it (microsoft botched so badly on this one  it's not real.  at least they fixed this in nt5 with restrictanonymous=0x2). fixing this involves sending the current smb and unix credentials down the unix pipe so that the daemon it eventually goes to can pick them up at the other end.  i can't believe this all worked!!! 
2483	YES	ABOUT TIME!!!!!!!!  damn  this one is bad.  started  at least two days ago  to add an authentication mechanism to the smbd<->msrpc redirector/relay  such that sufficient unix / nt information could be transferred across the unix socket to do a become_user() on the other side of the socket.  it is necessary that the msrpc daemon inherit the same unix and nt credentials as the smbd process from which it was spawned  until such time as the msrpc daemon receives an authentication request of its own  whereupon the msrpc daemon is responsible for authenticating the new credentials and doing yet another become_user() etc sequence. 
2489	NO	"final part of ""first"" phase converting over to msrpc daemon architecture. done a minimal amout of clean-up in the Makefile  removing unnecessary modules from the link stage.  this is not complete  yet  and will involve some changes  for example to smbd  to remove dependencies on the password database API that shouldn't be there.  for example  smbd should not ever call getsmbpwXXX() it should call the Samr or Lsa API.  this first implementation has minor problems with not reinstantiating the same services as the caller.  the ""homes"" service is a good example. "
2491	NO	first pass at updating head branch to be to be the same as the SAMBA_2_0 branch 
2492	NO	2nd phase of head branch sync with SAMBA_2_0 - this delets all the files that were in the head branch but weren't in SAMBA_2_0 
2509	NO	first cut at using the tdb code for the connections structure  the SWAT status page and smbstatus. It made the code _much_ simpler  I wish we'd done a database module a long time ago! 
2510	YES	converted all our existing shared memory code to use a tdb database instead of either sysv or mmap shared memory or lock files.  this means we can now completely remove 
2527	NO	fixed more locking bugs - all seems OK now 
2540	NO	"added the unexpected packet database (unexpected.tdb) this means ""nmblookup -S"" now always works  even with broken servers the database stores all unexpected replies and these can be accessed by any client. while doing this I cleaned up a couple of functions  and put in place a better trn_id generator. in most places the code got quite a bit simpler due to the addition of simple helper functions.  I haven't yet put the code in to take advantage of this for pdc replies - that will be next. Jeremys pdc finding code will then work :) "
2542	NO	got rid of mem_man yamd is much better  and doesn't require any source code changes if you haven't seen yamd then take a look at 
2544	NO	simple mods to add msrpc pipe redirection.  default behaviour: fall back to using internal msrpc code in smbd. 
2548	YES	oops  must use read_data() not read()  as read() may only provide part of the data stream.  read_data() is a wrapper to guarantee receiving exactly the requested number of bytes. 
2550	YES	"Added ""crap"" fix for rotating string buffers. (Increased to 20  added #define). Andrew - please fix this properly when you have time :-). Jeremy. "
2553	YES	implemented talloc() as described on samba-technical. This fixes the lp_string() bug properly.  we still need to add lp_talloc_free() calls in all the main event loops  I've only put it in smbd and nmbd thus far. 
2565	YES	don't use strcpy 
2566	NO	this looks like a big commit  but it isn't really :)  This fixes our netbios scope handling. We now have a 'netbios scope' option in smb.conf and the scope option is removed from make_nmb_name()  this was prompted by a bug in our PDC finding code where it didn't append the scope to the query of the '*' name. 
2642	YES	Modified auto alignment of ud[] struct on stack to be declared as an array of pointers. This should cause alignment on a correct boundary.. Spotted by Darren Reed <darrenr@telnetmedia.com>. Jeremy. 
