SNAPSHOT	DOCUMENTED	COMMIT NOTES
4334	NO	Summary: Merge from delay-class-4 Keywords:  Patches applied:    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-23      Merge from HEAD  and shutdown delaypools at shutdown.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-22      Merge from HEAD.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-21      Implement class 4 delay pools    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-20      Fix make dist.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-19      Document finished aspects of delay pools.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-18      Merge from HEAD.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-17      Fixs to handle HEAD changes.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-16      Merge from head.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-15      Merge from HEAD    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-14      Merge from HEAD    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-13      Separate out code for DelayBucket and DelayId.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-12      More class split outs.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-11      More class splitting    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-10      Splitting classes out to one per file.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-9      Starting consolidation of delay pools hierarchy.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-8      Snapshot    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-7      Finally got composite structure sorted - class one and two delay pools in it.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-6      snapshotting more refactoring.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-5      More refactoring - no functionality changes.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-4      Another refactoring snapshot.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-3      Snapshot of delay pools refactoring.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-2      Refactor delay pools code to not cause globals recompiles on most changes.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-20      Fix make dist.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-21      Implement class 4 delay pools    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-22      Merge from HEAD.    * robertc@squid-cache.org--squid/squid--delay-class-4--3.0--patch-23      Merge from HEAD  and shutdown delaypools at shutdown. 
4355	NO	Cleanup of winbind header dependencies to correct building with current Samba releases and make migration easier in future (and also backward to older Samba versions if needed)  1. Centralize the headers to include/samba/nsswitch  2. Upgraded the headers to Samba-2.2.7a  without any changes  3. Added a --with-samba-source=... configure option to manually specify    other headers to use (top level Samba source directory) 
4356	NO	Summary: Merge of ACL refactoring.  Patches applied:    * robertc@squid-cache.org--squid/squid--acl--3.0--patch-10      Merge from HEAD.    * robertc@squid-cache.org--squid/squid--acl--3.0--patch-9      Refactoring (again!)    * robertc@squid-cache.org--squid/squid--acl--3.0--patch-8      More refactoring.    * robertc@squid-cache.org--squid/squid--acl--3.0--patch-7      Merge from HEAD.    * robertc@squid-cache.org--squid/squid--acl--3.0--patch-6      More refactoring.    * robertc@squid-cache.org--squid/squid--acl--3.0--patch-5      More refactoring of ACL's.    * robertc@squid-cache.org--squid/squid--acl--3.0--patch-4      Merge from HEAD.    * robertc@squid-cache.org--squid/squid--acl--3.0--patch-3      Still more refactoring steps.    * robertc@squid-cache.org--squid/squid--acl--3.0--patch-2      More refactoring.    * robertc@squid-cache.org--squid/squid--acl--3.0--patch-1      Bootstrap  and start refactoring. 
4374	NO	Revision: squid--HEAD--3.0--patch-86 Archive: robertc@squid-cache.org--squid Creator: Robert Collins <rbtcollins@hotmail.com> Date: Mon Feb 17 17:45:44 EST 2003 Standard-date: 2003-02-17 06:45:44 GMT Summary: Merge more ACL changes. Keywords: New-files: {arch}/squid/squid--HEAD/squid--HEAD--3.0/robertc@squid-cache.org--squid/patch-log/patch-86   {arch}/squid/squid--acl/squid--acl--3.0/robertc@squid-cache.org--squid/patch-log/patch-20   src/.arch-ids/ACLBrowser.cc.id src/.arch-ids/ACLBrowser.h.id   src/.arch-ids/ACLCertificate.cc.id   src/.arch-ids/ACLCertificate.h.id   src/.arch-ids/ACLMatchStrategy.h.id   src/.arch-ids/ACLRequestHeaderStrategy.h.id   src/.arch-ids/ACLStrategised.cc.id   src/.arch-ids/ACLStrategised.h.id   src/.arch-ids/ACLTime.cc.id src/.arch-ids/ACLTime.h.id   src/.arch-ids/ACLTimeData.cc.id   src/.arch-ids/ACLTimeData.h.id src/.arch-ids/ACLUrl.cc.id   src/.arch-ids/ACLUrl.h.id src/.arch-ids/ACLUrlPath.cc.id   src/.arch-ids/ACLUrlPath.h.id src/.arch-ids/ACLReferer.cc.id   src/.arch-ids/ACLReferer.h.id   src/.arch-ids/ACLRequestMIMEType.cc.id   src/.arch-ids/ACLRequestMIMEType.h.id src/ACLBrowser.cc   src/ACLBrowser.h src/ACLCertificate.cc src/ACLCertificate.h   src/ACLMatchStrategy.h src/ACLRequestHeaderStrategy.h   src/ACLStrategised.cc src/ACLStrategised.h src/ACLTime.cc   src/ACLTime.h src/ACLTimeData.cc src/ACLTimeData.h   src/ACLUrl.cc src/ACLUrl.h src/ACLUrlPath.cc src/ACLUrlPath.h   src/ACLReferer.cc src/ACLReferer.h src/ACLRequestMIMEType.cc   src/ACLRequestMIMEType.h Modified-files: src/ACL.h src/ACLCertificateData.cc src/ACLCertificateData.h   src/ACLData.h src/ACLDestinationDomain.cc   src/ACLDestinationDomain.h src/ACLDomainData.cc   src/ACLDomainData.h src/ACLIdent.cc src/ACLIdent.h   src/ACLProxyAuth.cc src/ACLProxyAuth.h src/ACLRegexData.cc   src/ACLRegexData.h src/ACLSourceDomain.cc   src/ACLSourceDomain.h src/ACLUserData.cc src/ACLUserData.h   src/Makefile.am src/Makefile.in src/acl.cc src/cache_cf.cc   src/enums.h src/mem.cc src/structs.h New-patches: robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-86   robertc@squid-cache.org--squid/squid--acl--3.0--patch-20  Patches applied:    * robertc@squid-cache.org--squid/squid--acl--3.0--patch-20      Still more acl incremental improvements. 
4380	YES	Merge of http(s)_port and accelerator directive updates from rproxy   - The httpd_accel_* directives is now gone  replaced by http(s)_port    options   - The http(s)_port options has a list of new options for controlling    the type and mode of port created with respect to       - transparent proxying      - plain acceleration      - host header based acceleration      - normal proxying (default)   - To enforce a reasonable level of security in accelerators  accelerated    requests are denied to go direct unless forced by always_direct. 
4381	NO	Summary: Ran astyle over src subtree. Keywords:  Astyle is the formatter of choice for squid-3 C++ code. See http://www.squid-cache.org/~robertc/squid-3-style.txt for the squid 3 style conventions. 
4385	NO	Summary: Merge final stage1 ACL refactoring. Keywords:  Patches applied:    * robertc@squid-cache.org--squid/squid--acl--3.0--patch-25      Merge from HEAD.    * robertc@squid-cache.org--squid/squid--acl--3.0--patch-24      Merge from HEAD.    * robertc@squid-cache.org--squid/squid--acl--3.0--patch-23      ACL tidyups within new framework. 
4392	NO	Added LDAP URI support  contributed by Juerg Michel 
4403	NO	Summary: Merge epoll and delay pools/deferred reads removal. Keywords:  Patches applied:    * robertc@squid-cache.org--squid/squid--epoll--3.0--patch-12      Bufix from merge.    * robertc@squid-cache.org--squid/squid--epoll--3.0--patch-11      Remove some duplicate code.    * robertc@squid-cache.org--squid/squid--epoll--3.0--patch-10      Handle aborts properly in deferred reads.    * robertc@squid-cache.org--squid/squid--epoll--3.0--patch-9      Fixup after merge.    * robertc@squid-cache.org--squid/squid--epoll--3.0--patch-8      Merged from HEAD.    * robertc@squid-cache.org--squid/squid--epoll--3.0--patch-7      Add missing files.    * robertc@squid-cache.org--squid/squid--epoll--3.0--patch-6      Start tackling the StoreEntry defer logic.    * robertc@squid-cache.org--squid/squid--epoll--3.0--patch-5      Bugfix: limit the size read in tunnel.cc to the buffer size.    * robertc@squid-cache.org--squid/squid--epoll--3.0--patch-4      Squash deferred reads.    * robertc@squid-cache.org--squid/squid--epoll--3.0--patch-3      Start addressing the use of deferred reads.    * robertc@squid-cache.org--squid/squid--epoll--3.0--patch-2      Start refactoring deferred reads.    * robertc@squid-cache.org--squid/squid--epoll--3.0--patch-1      Apply epoll patch from David Nicklay    * robertc@squid-cache.org--squid/squid--epoll--3.0--patch-10      Handle aborts properly in deferred reads.    * robertc@squid-cache.org--squid/squid--epoll--3.0--patch-11      Remove some duplicate code.    * robertc@squid-cache.org--squid/squid--epoll--3.0--patch-12      Bufix from merge.    * robertc@squid-cache.org--squid/squid--epoll--3.0--base-0      tag of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-95 
4424	NO	Summary: Merge in IMS refactoring.  Keywords:  Patches applied:  * robertc@squid-cache.org--squid/squid--bug-564--3.0--patch-5 And ESI was broken too.  * robertc@squid-cache.org--squid/squid--bug-564--3.0--patch-4 Fix introduced memleak.  * robertc@squid-cache.org--squid/squid--bug-564--3.0--patch-3 Start tackling the refresh logic.  * robertc@squid-cache.org--squid/squid--bug-564--3.0--patch-2 More steps to fixing bug #564  * robertc@squid-cache.org--squid/squid--bug-564--3.0--patch-1 Towards addressing bug 564  * robertc@squid-cache.org--squid/squid--bug-564--3.0--base-0 tag of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-125 
4428	NO	Summary: Merge in digest helper refactoring. Keywords:  Patches applied:    * robertc@squid-cache.org--squid/squid--digest-auth--3.0--patch-6      Merge from HEAD.    * robertc@squid-cache.org--squid/squid--digest-auth--3.0--patch-5      Tweak digest helper.    * robertc@squid-cache.org--squid/squid--digest-auth--3.0--patch-4      Factor digest password helper for easy extension.    * robertc@squid-cache.org--squid/squid--digest-auth--3.0--patch-3      merge from HEAD. 
4432	YES	Removed old code which has in full been replaced by other functions 
4456	NO	const correctness (spotted by gcc) 
4459	NO	Bug #622: Domain-qualified group notation support to wb_group helper 
4525	YES	Summary: strcpy->strncpy in pconn.cc. Keywords:  Whilst debugging  I noticed we don't use strncpy - converted for safety. 
4557	NO	Summary: ConnStateData tweaks to address race on close. Keywords:  * ConnStateData is most appropriate to be reference counted by it's owners  and cbdata locked by it's callees. Make this change and propogate throughout. * Extract on-closure logic from ConnStateData destructor to ConnStateData::close(). * Fix an apparent break with authenticateOnCloseConnection(). * Move request_t to HttpRequest.h 
4571	NO	Summary: Merge of robertc@squid-cache.org--squid/squid--esi--3.0 Keywords:  Patches applied:    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-149      Fixup test-suite makefile pre-merge.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-148      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-262    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-147      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-261    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-146      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-260    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-145      More merge fixups.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-144      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-259    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-143      Adjust for recent merges.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-142      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-258    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-141      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-257    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-140      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-256    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-139      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-255    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-138      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-254    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-137      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-253    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-136      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-252    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-135      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-251    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-134      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-250    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-133      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-249    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-132      Merge of projects@swelltech.com--private/squid--mem-to-disk--3.0--patch-1    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-131      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-247    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-130      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-246    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-129      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-245    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-128      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-244    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-127      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-243    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-126      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-242    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-125      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-241    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-124      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-240    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-123      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-239    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-122      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-238    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-121      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-237    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-120      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-236    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-119      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-235    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-118      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-234    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-117      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-233    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-116      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-232    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-115      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-231    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-114      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-230    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-113      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-229    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-112      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-228    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-111      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-227    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-110      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-226    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-109      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-225    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-108      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-224    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-107      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-223    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-106      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-222    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-105      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-221    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-104      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-220    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-103      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-219    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-102      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-218    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-101      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-217    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-100      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-216    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-99      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-215    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-98      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-214    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-97      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-213    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-96      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-212    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-95      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-211    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-94      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-210    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-93      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-209    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-92      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-208    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-91      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-207    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-90      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-206    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-89      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-205    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-88      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-204    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-87      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-203    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-86      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-202    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-85      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-201    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-84      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-200    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-83      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-199    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-82      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-198    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-81      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-197    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-80      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-196    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-79      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-195    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-78      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-194    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-77      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-193    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-76      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-192    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-75      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-191    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-74      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-190    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-73      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-189    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-72      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-188    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-71      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-187    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-70      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-186    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-69      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-185    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-68      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-184    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-67      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-183    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-66      Towards esi Functions.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-65      Refactoring towards ESI Functions.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-64      Propogate message headers to ESI includes.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-63      Extract HttpHeader class to HttpHeader.h    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-62      Extract ESIInclude to separate files.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-61      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-182    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-60      Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-181    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-59      Merge from HEAD    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-58      Prevent a race condition in esi includes.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-57      Merge from HEAD.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-56      Merge from HEAD.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-55      BUGFIX: Memory leak in ESI requests.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-54      BUGFIX: libTrie was returning random values when adding a node.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-53      Give libTrie stricter g++ flags.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-52      Parse '' correctly in esi expressions.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-51      Fixup build.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-50      Merge from HEAD.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-49      Merge from HEAD.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-48      ESI logging tweaks.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-47      Bugfix: redirection of internal requests would segv.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-46      Merge from HEAD    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-45      Merge from HEAD.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-44      Implement variable evaluation in esi:assign short form.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-43      Implement ESI long form variable assignment.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-42      Inital addition of ESIAssign.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-41      Finish inserting all variables for ESI into a trie.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-40      Variable logic extraction.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-39      Separate out various variable logic.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-38      Allow character transforms for tries.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-37      ESI Variable refactoring to ease support of dynamic variables.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-36      Allow low expiry dates on objects when using ESI.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-35      Bugfix TrieNode constructor.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-34      Eliminate esiVarState::esiVar_t.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-33      Introduce esiVarState::Variable class.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-32      Merge from HEAD.    * robertc@squid-cache.org--squid/squid--esi--3.0--patch-31      Merge CVS changes to ESI. 
4576	NO	Summary: Remove more global mem pools. Keywords:  Give HttpRequest it's own mempool. Give storeSwapLogData it's own file  mem pool.   Provide a file_write adapter for objects. Give helper_stateful_request it's own mem pool.   Move into new file helper.h Give helper_request it's own mem pool.   Move into new file helper.h 
4592	NO	Summary: Merge disk-factoring. Keywords:  Patches applied:   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-14    Merge of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-283-285   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-13    Further OOification of the store drivers.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-12    And more OOification.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-11    And more OOification of the store drivers.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-10    And more OOification.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-9    More store OOification.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-8    Dist missing files.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-7    And moe OOification.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-6    And more OOification.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-5    More store FS OOification.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-4    More OOification for the store.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-3    OO'ing the store layer.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-2    BUGFIX: array.cc compilation.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--patch-1    Update to latest HEAD code.   * robertc@squid-cache.org--squid/squid--disk-io--3.0--base-0    tag of robertc@squid-cache.org--squid/squid--HEAD--3.0--patch-220 
4609	NO	Cut out unwanted regex interfaces from GNUregex.c  - emacs related stuff  - BSD 4.2 regex interface  - old GNU regex interface leaving only the POSIX interface which is what we use 
4680	NO	Move HierarchyLogEntry  all depended classes  and their dependents out of structs  assigning constructors. Ensure that ps_state objects created will use the constructor 
4723	YES	Bug #935: squid_ldap_auth can be confused by the use of reserved characters  squid_ldap_auth may be confused by the use of reserved characters allowing the login name to be masqueraded in different manners possibly allowing the user to partially bypass certain per-user restrictions or confuse third party accounting packages.  Note that the user can not bypass the login procedure as such. All he can do is to make the login name look different than normal. There is still full audit trails on who the user is etc.  The patch also adds and documents a -d flag to both squid_ldap_auth and squid_ldap_group to allow for easier tracing of the operation of these programs if results is not what is expected. 
4737	YES	Bug #849: DNS log error messages should report the failed query 
4743	YES	Fix a username/password parsing bug for NTLM SMB helper (ntlm_auth). 
4752	NO	/tmp/cvsZKn66v 
4793	NO	Bug #909: ARP Support on FreeBSD  From Guido Serassio  2004-10-23 14:57  The new FreeBSD code doesn't build.  There are some C++ problems  and the Solaris section seems to be affected too. 
