loc,v_g,ev_g,iv_g,n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
9,2,1,1,27,110.36,0.12,8.25,13.38,910.48,0.04,50.58,3,3,1,0,11,6,18,9,3,false
9,2,1,1,43,185.84,0.11,9.17,20.27,1703.56,0.06,94.64,3,3,1,0,11,9,28,15,3,false
20,3,1,1,36,147.15,0.07,14.67,10.03,2158.18,0.05,119.9,0,0,5,0,11,6,20,16,5,false
98,10,10,7,486,3428.87,0.04,27.25,125.84,93428.15,1.14,5190.45,6,57,49,0,32,101,314,172,19,false
172,25,15,24,750,5588.41,0.04,22.99,243.12,128457.87,1.86,7136.55,20,56,77,0,27,148,498,252,49,false
6,1,1,1,50,216.1,0.18,5.65,38.22,1221.78,0.07,67.88,0,0,2,0,7,13,29,21,1,false
43,4,1,4,267,1619.65,0.05,19.2,84.37,31093.83,0.54,1727.43,1,29,31,0,19,48,170,97,7,false
36,2,1,2,171,916.14,0.04,24.18,37.89,22153.96,0.31,1230.78,11,31,34,0,19,22,115,56,3,false
21,4,1,3,87,472.09,0.11,9.48,49.79,4476.07,0.16,248.67,11,5,14,0,16,27,55,32,7,false
6,1,1,1,23,92,0.19,5.14,17.89,473.14,0.03,26.29,2,7,2,0,9,7,15,8,1,false
5,1,1,1,14,51.81,0.22,4.5,11.51,233.13,0.02,12.95,2,0,1,0,9,4,10,4,1,false
5,1,1,1,14,53.3,0.22,4.5,11.85,239.86,0.02,13.33,3,0,1,0,9,5,9,5,1,false
8,1,1,1,39,162.63,0.12,8.13,20.02,1321.34,0.05,73.41,5,0,5,0,10,8,26,13,1,false
6,1,1,1,35,143.06,0.15,6.75,21.19,965.66,0.05,53.65,6,0,4,0,9,8,23,12,1,false
16,4,1,2,91,474.06,0.05,19.41,24.42,9202.35,0.16,511.24,1,1,5,0,20,17,58,33,7,false
14,3,1,3,37,167.37,0.1,10.4,16.09,1740.67,0.06,96.7,0,7,4,0,13,10,21,16,5,false
88,19,9,9,492,3289.76,0.02,48.79,67.42,160516.7,1.1,8917.59,6,51,39,0,33,70,285,207,37,false
29,4,1,3,151,912.7,0.05,18.53,49.27,16907.83,0.3,939.32,7,6,18,0,26,40,94,57,6,false
60,21,5,15,809,5767.59,0.01,73.1,78.9,421634.86,1.92,23424.16,16,37,49,0,44,96,490,319,41,false
52,10,3,6,342,2220.21,0.02,46.67,47.58,103609.98,0.74,5756.11,12,25,31,0,36,54,202,140,19,false
7,1,1,1,19,76,0.22,4.5,16.89,342,0.03,19,1,0,1,0,8,8,10,9,1,false
8,1,1,1,34,146.95,0.2,5,29.39,734.73,0.05,40.82,2,5,7,0,8,12,19,15,1,false
20,1,1,1,99,507.8,0.12,8.25,61.55,4189.34,0.17,232.74,3,4,6,0,11,24,63,36,1,false
29,6,1,6,133,707.82,0.04,24,29.49,16987.59,0.24,943.76,7,3,5,0,20,20,85,48,8,false
9,1,1,1,28,114.45,0.14,7.14,16.02,817.49,0.04,45.42,0,0,2,0,10,7,18,10,1,false
15,4,4,2,55,264.4,0.08,12,22.03,3172.85,0.09,176.27,1,0,1,0,16,12,37,18,7,false
14,2,1,1,51,239.72,0.11,9.5,25.23,2277.36,0.08,126.52,2,7,7,0,13,13,32,19,3,false
22,3,1,1,47,215.49,0.12,8.03,26.81,1732.23,0.07,96.24,0,0,1,0,11,13,28,19,4,false
63,15,4,3,262,1626.88,0.03,35.45,45.89,57670.7,0.54,3203.93,5,0,17,0,35,39,183,79,20,false
9,2,1,1,40,178.38,0.14,7.22,24.7,1288.28,0.06,71.57,2,1,3,0,13,9,30,10,3,false
9,2,1,1,39,173.92,0.14,7.22,24.08,1256.07,0.06,69.78,2,0,3,0,13,9,29,10,3,false
17,4,1,2,68,340,0.07,13.6,25,4624,0.11,256.89,1,1,6,0,17,15,44,24,7,false
9,3,3,1,19,70.31,0.21,4.8,14.65,337.48,0.02,18.75,0,0,0,0,8,5,13,6,5,false
10,2,1,1,62,294.8,0.08,12.5,23.58,3685.04,0.1,204.72,4,0,4,0,15,12,42,20,3,false
3,1,1,1,5,11.61,0.5,2,5.8,23.22,0,1.29,0,0,0,0,4,1,4,1,1,false
9,5,5,1,31,124,0.16,6.43,19.29,797.14,0.04,44.29,0,0,0,0,9,7,21,10,9,false
101,19,9,8,677,4887.38,0.02,64.68,75.56,316115.55,1.63,17561.98,44,76,84,0,49,100,413,264,37,false
29,8,1,6,555,3695.31,0.02,48.05,76.91,177559.52,1.23,9864.42,28,6,17,0,31,70,338,217,15,false
22,6,5,4,185,1092.77,0.03,29.45,37.1,32187.18,0.36,1788.18,3,8,16,0,27,33,113,72,11,false
106,13,1,11,421,2739.78,0.04,27.04,101.31,74089.87,0.91,4116.1,0,14,51,0,20,71,229,192,25,false
21,3,1,3,86,454.54,0.09,11.25,40.4,5113.63,0.15,284.09,0,6,6,0,15,24,50,36,5,false
10,2,1,2,37,162.52,0.14,7.27,22.35,1181.93,0.05,65.66,0,0,1,0,10,11,21,16,3,false
17,3,1,3,137,718.97,0.04,24.29,29.6,17460.6,0.24,970.03,4,3,9,0,17,21,77,60,5,false
13,3,1,3,71,337.6,0.08,13.2,25.58,4456.28,0.11,247.57,4,0,5,0,12,15,38,33,5,false
4,1,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,0,3,1,0,3,2,3,2,1,false
49,13,8,6,384,2312.59,0.02,55.62,41.58,128629.96,0.77,7146.11,0,22,15,0,28,37,237,147,25,false
49,13,8,6,384,2312.59,0.02,55.62,41.58,128629.96,0.77,7146.11,0,22,15,0,28,37,237,147,25,false
55,14,9,5,366,2272.66,0.02,49.74,45.69,113051.62,0.76,6280.65,1,23,23,0,31,43,228,138,27,false
55,14,9,5,366,2272.66,0.02,49.74,45.69,113051.62,0.76,6280.65,1,23,23,0,31,43,228,138,27,false
17,5,4,2,120,620.39,0.04,23.47,26.43,14560.94,0.21,808.94,1,10,4,0,19,17,78,42,9,false
17,5,4,2,120,620.39,0.04,23.47,26.43,14560.94,0.21,808.94,1,10,4,0,19,17,78,42,9,false
20,5,4,2,127,671.25,0.04,23.16,28.99,15544.65,0.22,863.59,1,5,3,0,20,19,83,44,9,false
20,5,4,2,127,671.25,0.04,23.16,28.99,15544.65,0.22,863.59,1,5,3,0,20,19,83,44,9,false
30,9,9,2,405,2183.89,0.01,76.87,28.41,167872.07,0.73,9326.23,1,12,6,0,23,19,278,127,17,false
45,15,15,2,581,3190.77,0.01,95.66,33.36,305225.84,1.06,16956.99,1,16,9,0,23,22,398,183,29,false
20,6,6,2,241,1299.55,0.02,46,28.25,59779.23,0.43,3321.07,1,6,7,0,23,19,165,76,11,false
41,10,7,2,312,1905.86,0.03,38.79,49.14,73923.53,0.64,4106.85,3,8,6,0,29,40,205,107,19,false
25,8,8,1,228,1252.14,0.04,27.04,46.31,33856.01,0.42,1880.89,0,8,5,0,19,26,154,74,15,false
22,5,1,2,114,602.54,0.05,22.11,27.26,13319.21,0.2,739.96,10,22,6,0,20,19,72,42,9,false
41,4,1,4,247,1453.01,0.04,23.68,61.36,34405.27,0.48,1911.4,0,21,15,0,17,42,130,117,7,false
48,6,5,4,279,1758.75,0.04,24.77,71.01,43561.75,0.59,2420.1,25,13,40,0,25,54,172,107,11,false
24,9,1,8,74,355.74,0.09,11.65,30.54,4143.37,0.12,230.19,0,0,9,0,11,17,38,36,17,false
25,4,1,3,97,480.56,0.04,22.46,21.39,10795.37,0.16,599.74,0,15,16,0,17,14,60,37,7,false
176,23,15,17,696,5219.89,0.03,37.2,140.31,194194.61,1.74,10788.59,6,100,82,0,38,143,416,280,43,false
10,2,1,2,21,75.28,0.14,7,10.75,526.99,0.03,29.28,0,0,1,0,8,4,14,7,3,false
66,9,4,7,342,2203.49,0.03,28.98,76.03,63864.99,0.73,3548.06,5,26,34,0,26,61,206,136,17,false
32,4,1,3,130,744.63,0.06,16.36,45.51,12184.85,0.25,676.94,9,31,22,0,20,33,76,54,7,false
18,2,1,2,70,364.66,0.1,10.29,35.45,3750.81,0.12,208.38,0,12,9,0,16,21,43,27,3,false
3,1,1,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,0,0,2,0,4,3,4,3,1,false
14,3,3,2,46,218.72,0.07,13.82,15.83,3022.38,0.07,167.91,3,4,12,0,16,11,27,19,5,false
29,4,3,3,133,768.92,0.05,19.35,39.73,14882.34,0.26,826.8,4,21,14,0,24,31,83,50,7,false
104,18,13,7,372,2414.97,0.02,41.38,58.36,99929.77,0.8,5551.65,5,70,38,0,32,58,222,150,35,false
68,12,5,7,187,1130.3,0.05,21.71,52.05,24543.69,0.38,1363.54,4,58,39,0,24,42,111,76,23,false
7,1,1,1,7,18.09,0.5,2,9.05,36.19,0.01,2,1,0,2,0,4,2,5,2,1,false
21,4,1,4,104,567.78,0.06,17.86,31.79,10140.57,0.19,563.36,4,16,19,0,19,25,57,47,7,false
10,2,1,1,24,103.73,0.2,5,20.75,518.63,0.03,28.81,0,0,1,0,10,10,14,10,3,false
19,3,1,3,74,366.61,0.1,9.75,37.6,3574.45,0.12,198.58,9,7,13,0,13,18,47,27,5,false
7,1,1,1,11,34.87,0.29,3.5,9.96,122.04,0.01,6.78,0,0,0,0,7,2,9,2,1,false
8,1,1,1,11,36.54,0.29,3.5,10.44,127.89,0.01,7.11,0,0,0,0,7,3,8,3,1,false
8,1,1,1,11,36.54,0.33,3,12.18,109.62,0.01,6.09,0,0,0,0,6,4,7,4,1,false
8,1,1,1,11,36.54,0.33,3,12.18,109.62,0.01,6.09,0,0,0,0,6,4,7,4,1,false
19,2,1,1,57,261.33,0.09,10.58,24.71,2764.2,0.09,153.57,0,0,3,0,11,13,32,25,3,false
10,2,1,1,23,87.57,0.19,5.4,16.21,472.87,0.03,26.27,1,6,6,0,9,5,17,6,3,false
11,1,1,1,42,155.42,0.16,6.25,24.87,971.37,0.05,53.96,0,1,3,0,5,8,22,20,1,false
9,1,1,1,18,68.53,0.2,5,13.71,342.66,0.02,19.04,0,0,1,0,10,4,14,4,1,false
7,1,1,1,10,33.22,0.33,3,11.07,99.66,0.01,5.54,0,0,0,0,6,4,6,4,1,false
8,1,1,1,46,191.82,0.14,7,27.4,1342.72,0.06,74.6,0,1,2,0,9,9,32,14,1,false
15,2,1,1,42,178.41,0.1,9.63,18.54,1717.22,0.06,95.4,0,0,3,0,11,8,28,14,3,false
10,2,1,2,39,171.3,0.09,10.56,16.21,1809.36,0.06,100.52,4,15,6,0,13,8,26,13,3,false
6,1,1,1,9,27,0.33,3,9,81,0.01,4.5,0,0,0,0,6,2,7,2,1,false
44,6,1,6,152,886.6,0.05,18.91,46.89,16764.79,0.3,931.38,1,16,12,0,24,33,100,52,11,false
8,1,1,1,34,138.97,0.16,6.19,22.46,859.9,0.05,47.77,0,2,6,0,9,8,23,11,1,false
15,2,1,1,62,294.8,0.15,6.87,42.88,2026.77,0.1,112.6,0,0,0,0,11,16,42,20,3,false
7,1,1,1,30,122.62,0.18,5.63,21.8,689.76,0.04,38.32,0,0,0,0,9,8,20,10,1,false
6,1,1,1,26,101.58,0.17,6,16.93,609.47,0.03,33.86,0,0,1,0,9,6,18,8,1,false
15,3,1,3,36,147.15,0.06,18,8.17,2648.68,0.05,147.15,0,0,3,0,12,5,21,15,5,false
70,13,7,9,355,2263.14,0.04,27.86,81.22,63061.03,0.75,3503.39,6,15,25,0,24,59,218,137,25,false
24,4,1,4,91,466.76,0.06,16.94,27.55,7907.54,0.16,439.31,3,2,5,0,18,17,59,32,7,false
6,1,1,1,21,84,0.17,5.79,14.52,486,0.03,27,3,2,5,0,9,7,12,9,1,false
12,3,1,2,106,525.14,0.06,18.12,28.99,9514.39,0.18,528.58,7,9,15,0,14,17,62,44,5,false
5,1,1,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,2,1,3,0,4,3,4,3,1,false
8,1,1,1,45,187.65,0.09,10.63,17.66,1993.75,0.06,110.76,4,2,5,0,10,8,28,17,1,false
9,2,1,1,43,185.84,0.07,13.5,13.77,2508.88,0.06,139.38,2,2,6,0,12,8,25,18,3,false
9,2,1,1,53,232.79,0.06,17.06,13.64,3972.03,0.08,220.67,2,2,5,0,13,8,32,21,3,false
19,4,1,4,134,731.56,0.05,18.29,40.01,13377.17,0.24,743.18,3,0,4,0,16,28,70,64,7,false
6,1,1,1,13,43.19,0.33,3,14.4,129.56,0.01,7.2,3,2,5,0,5,5,7,6,1,false
25,6,1,6,182,1005.29,0.04,23.73,42.36,23858.84,0.34,1325.49,3,0,4,0,16,30,93,89,11,false
19,3,1,3,72,360,0.1,10.11,35.6,3640,0.12,202.22,1,9,14,0,14,18,46,26,5,false
76,16,10,11,526,3670.05,0.03,33.87,108.35,124313.16,1.22,6906.29,28,17,35,0,32,94,327,199,31,false
35,5,1,5,191,1114.08,0.1,10.11,110.24,11259.34,0.37,625.52,1,0,1,0,10,47,96,95,9,false
8,3,1,2,43,188.87,0.09,10.67,17.71,2014.61,0.06,111.92,7,2,6,0,12,9,27,16,5,false
14,1,1,1,49,196,0.36,2.77,70.78,542.77,0.07,30.15,0,0,0,0,3,13,25,24,1,false
7,1,1,1,27,102.8,0.13,8,12.85,822.39,0.03,45.69,2,1,3,0,8,6,15,12,1,false
27,5,1,4,159,888.01,0.05,20.7,42.9,18381.79,0.3,1021.21,8,19,17,0,23,25,114,45,9,false
20,3,1,2,205,1138.69,0.03,30.2,37.71,34384.39,0.38,1910.24,10,7,16,0,19,28,116,89,5,false
27,6,1,2,279,1627.38,0.03,33.51,48.56,54539.1,0.54,3029.95,14,5,11,0,20,37,155,124,11,false
25,5,1,4,100,552.36,0.05,20.16,27.4,11135.5,0.18,618.64,2,0,5,0,21,25,52,48,9,false
423,96,27,63,2075,17124.28,0.01,125.77,136.16,2153690.63,5.71,119649.48,80,165,81,0,72,233,1261,814,162,false
30,5,1,5,189,1061.18,0.07,13.61,78,14437.64,0.35,802.09,1,0,2,0,11,38,95,94,9,false
10,4,1,3,28,109.39,0.18,5.69,19.23,622.17,0.04,34.57,2,2,20,0,7,8,15,13,7,false
49,16,10,3,399,2602.9,0.03,31.06,83.81,80843.05,0.87,4491.28,35,12,115,0,24,68,223,176,31,false
85,32,12,10,589,4031.99,0.02,51.47,78.34,207526.23,1.34,11529.23,53,27,156,0,32,83,322,267,63,false
8,7,1,1,74,347.83,0.06,16.32,21.3,5681.26,0.12,315.63,15,2,10,0,14,12,46,28,13,false
50,15,9,1,219,1282.9,0.04,25.26,50.79,32401.84,0.43,1800.1,19,53,17,0,21,37,130,89,29,false
165,29,27,22,1118,8593.51,0.02,42.76,200.98,367446.53,2.86,20413.7,61,32,48,0,32,174,653,465,57,false
17,2,1,2,103,505.41,0.11,9.27,54.5,4686.53,0.17,260.36,1,0,1,0,8,22,52,51,3,false
15,4,1,4,55,267.19,0.08,13.07,20.45,3491.27,0.09,193.96,1,0,1,0,14,15,27,28,7,false
61,11,7,10,259,1571.12,0.05,18.72,83.91,29416.66,0.52,1634.26,6,8,17,0,20,47,171,88,21,false
63,12,3,10,493,3343.21,0.02,40.22,83.12,134469,1.11,7470.5,30,18,74,0,31,79,288,205,23,false
16,3,1,3,82,427.18,0.07,15.16,28.18,6475.08,0.14,359.73,8,4,33,0,18,19,50,32,5,false
49,13,1,13,132,773.25,0.05,21.53,35.91,16649.11,0.26,924.95,1,0,1,0,26,32,79,53,16,false
52,14,1,14,142,842.16,0.04,23.03,36.57,19394.56,0.28,1077.48,1,0,1,0,27,34,84,58,18,false
42,7,1,7,263,1633.09,0.1,10.16,160.8,16586.02,0.54,921.45,1,0,4,0,10,64,133,130,13,false
62,13,9,10,271,1655.41,0.05,20.34,81.37,33677.25,0.55,1870.96,5,8,16,0,21,48,178,93,25,false
65,13,3,10,520,3559.65,0.02,43.66,81.52,155431.03,1.19,8635.06,30,19,40,0,33,82,303,217,25,false
75,17,9,11,471,3235.94,0.03,38.3,84.48,123948.13,1.08,6886.01,25,15,77,0,33,84,276,195,33,false
8,2,1,1,14,48.43,0.23,4.38,11.07,211.89,0.02,11.77,0,10,4,0,7,4,9,5,3,false
8,2,1,1,25,106.2,0.16,6.19,17.16,657.1,0.04,36.51,0,5,3,0,11,8,16,9,3,false
3,1,1,1,5,11.61,0.5,2,5.8,23.22,0,1.29,0,0,1,0,4,1,4,1,1,false
4,1,1,1,7,16.25,0.67,1.5,10.84,24.38,0.01,1.35,0,0,0,0,3,2,5,2,1,false
15,4,3,1,52,249.98,0.07,14.68,17.03,3670.2,0.08,203.9,2,14,8,0,17,11,33,19,7,false
8,2,1,1,14,48.43,0.23,4.38,11.07,211.89,0.02,11.77,0,10,4,0,7,4,9,5,3,false
9,2,1,2,26,108.42,0.18,5.5,19.71,596.3,0.04,33.13,0,2,3,0,9,9,15,11,3,false
13,3,1,2,66,313.82,0.07,13.93,22.53,4371.1,0.1,242.84,4,19,13,0,13,14,36,30,5,false
3,1,1,1,5,11.61,0.5,2,5.8,23.22,0,1.29,0,0,1,0,4,1,4,1,1,false
4,1,1,1,7,16.25,0.67,1.5,10.84,24.38,0.01,1.35,0,0,0,0,3,2,5,2,1,false
6,1,1,1,17,64.73,0.22,4.5,14.38,291.26,0.02,16.18,1,7,5,0,9,5,12,5,1,false
6,1,1,1,16,59.21,0.25,4,14.8,236.83,0.02,13.16,1,7,5,0,8,5,11,5,1,false
15,2,1,1,40,183.4,0.09,10.64,17.24,1950.69,0.06,108.37,0,7,7,0,13,11,22,18,3,false
9,1,1,1,21,84,0.19,5.14,16.32,432,0.03,24,0,3,5,0,9,7,13,8,1,false
9,1,1,1,21,84,0.19,5.14,16.32,432,0.03,24,0,3,5,0,9,7,13,8,1,false
20,1,1,1,120,629.75,0.06,16,39.36,10076.02,0.21,559.78,1,19,16,0,16,22,76,44,1,false
7,1,1,1,13,43.19,0.4,2.5,17.27,107.96,0.01,6,2,2,3,0,5,5,8,5,1,false
3,1,1,1,22,85.95,0.2,5,17.19,429.76,0.03,23.88,1,0,3,0,10,5,17,5,1,false
3,1,1,1,21,79.95,0.22,4.5,17.77,359.8,0.03,19.99,1,0,3,0,9,5,16,5,1,false
6,2,1,2,27,112.59,0.16,6.29,17.91,707.7,0.04,39.32,2,6,4,0,11,7,19,8,3,false
7,1,1,1,13,43.19,0.4,2.5,17.27,107.96,0.01,6,2,2,3,0,5,5,8,5,1,false
3,1,1,1,22,85.95,0.2,5,17.19,429.76,0.03,23.88,1,0,3,0,10,5,17,5,1,false
3,1,1,1,21,79.95,0.22,4.5,17.77,359.8,0.03,19.99,1,0,3,0,9,5,16,5,1,false
6,2,1,2,27,112.59,0.16,6.29,17.91,707.7,0.04,39.32,2,6,4,0,11,7,19,8,3,false
2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,false
2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,false
3,1,1,1,1,0,0,0,0,0,0,0,0,12,8,0,1,0,1,0,1,false
4,1,1,1,5,11.61,0.5,2,5.8,23.22,0,1.29,2,0,3,0,4,1,4,1,1,false
9,2,1,1,15,51.89,0.23,4.38,11.86,227.03,0.02,12.61,0,8,2,0,7,4,10,5,3,false
16,1,1,1,88,408.66,0.07,15.32,26.67,6261.24,0.14,347.85,0,4,7,0,11,14,49,39,1,false
5,1,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,1,1,2,0,3,2,3,2,1,false
4,1,1,1,15,47.55,0.27,3.75,12.68,178.31,0.02,9.91,3,1,1,0,5,4,9,6,1,false
5,1,1,1,27,105.49,0.16,6.29,16.78,663.06,0.04,36.84,4,5,2,0,8,7,16,11,1,false
9,2,1,1,39,171.3,0.1,10,17.13,1713,0.06,95.17,2,5,3,0,12,9,24,15,3,false
18,3,1,1,47,215.49,0.12,8.03,26.81,1732.23,0.07,96.24,4,0,2,0,11,13,28,19,4,false
38,10,4,4,142,835.34,0.04,26.1,32,21802.25,0.28,1211.24,4,33,27,0,29,30,88,54,13,false
14,6,5,1,59,277.33,0.06,17.6,15.76,4880.94,0.09,271.16,2,2,6,0,16,10,37,22,11,false
47,13,3,2,150,863.23,0.04,27.86,30.99,24047.21,0.29,1335.96,7,14,20,0,26,28,90,60,21,false
11,2,1,1,29,125.34,0.16,6.11,20.51,765.94,0.04,42.55,0,1,4,0,11,9,19,10,3,false
11,2,1,1,28,121.01,0.16,6.11,19.8,739.53,0.04,41.08,0,2,5,0,11,9,18,10,3,false
11,2,1,1,32,142.7,0.1,9.63,14.83,1373.5,0.05,76.31,1,2,3,0,14,8,21,11,3,false
21,4,4,4,96,492.41,0.1,10.5,46.9,5170.32,0.16,287.24,3,7,7,0,15,20,68,28,7,false
23,4,4,4,96,492.41,0.1,10.5,46.9,5170.32,0.16,287.24,1,5,7,0,15,20,68,28,7,false
13,3,1,3,49,240.44,0.14,7.26,33.1,1746.71,0.08,97.04,0,0,0,0,13,17,30,19,5,false
21,3,1,3,72,377.85,0.09,10.93,34.57,4129.37,0.13,229.41,0,0,0,0,17,21,45,27,5,false
21,3,1,3,72,380.55,0.1,10.43,36.48,3969.82,0.13,220.55,0,0,0,0,17,22,45,27,5,false
22,4,4,3,98,531.77,0.08,12.75,41.71,6780.12,0.18,376.67,0,0,0,0,17,26,59,39,7,false
41,8,6,6,187,1113.43,0.07,14.8,75.22,16481.41,0.37,915.63,1,9,2,0,19,43,120,67,15,false
22,4,3,2,64,310.91,0.07,14.77,21.05,4591.91,0.1,255.11,0,0,5,0,16,13,40,24,7,false
9,3,3,1,24,91.38,0.1,10,9.14,913.77,0.03,50.76,0,0,0,0,10,4,16,8,5,false
50,10,10,9,136,733.36,0.09,11.21,65.44,8218.63,0.24,456.59,0,0,12,0,13,29,86,50,19,false
29,10,10,8,118,640.3,0.05,20.43,31.33,13084.38,0.21,726.91,1,0,8,0,20,23,71,47,19,false
50,10,10,9,138,757.88,0.1,10.16,74.62,7697.18,0.25,427.62,0,0,12,0,13,32,88,50,19,false
29,19,1,8,216,1310.28,0.05,18.55,70.63,24306.94,0.44,1350.39,8,0,5,0,18,49,115,101,37,false
29,7,5,2,100,508.75,0.04,25.33,20.08,12888.24,0.17,716.01,0,9,5,0,19,15,60,40,13,false
9,1,1,1,81,366.41,0.05,20.22,18.12,7409.59,0.12,411.64,0,2,3,0,14,9,55,26,1,false
16,4,4,1,135,675,0.04,24.37,27.7,16447.5,0.23,913.75,0,3,4,0,17,15,92,43,7,false
9,1,1,1,25,104.25,0.2,5,20.85,521.24,0.03,28.96,0,0,0,0,9,9,15,10,1,false
6,1,1,1,19,70.31,0.29,3.43,20.51,241.06,0.02,13.39,0,0,0,0,6,7,11,8,1,false
30,7,3,4,171,955.03,0.03,30.04,31.79,28687.59,0.32,1593.75,0,2,7,0,22,26,100,71,13,false
14,2,1,2,20,71.7,0.35,2.86,25.09,204.86,0.02,11.38,0,0,2,0,5,7,12,8,3,false
56,22,1,12,455,2982.34,0.02,53.98,55.25,160995.7,0.99,8944.21,0,1,10,0,35,59,273,182,40,false
21,3,1,3,214,1207.79,0.04,26.67,45.29,32207.61,0.4,1789.31,1,10,7,0,20,30,134,80,5,false
14,1,1,1,80,380.39,0.11,9.5,40.04,3613.71,0.13,200.76,3,12,7,0,9,18,42,38,1,false
7,1,1,1,8,24,0.5,2,12,48,0.01,2.67,0,0,1,0,4,4,4,4,1,false
16,3,3,1,40,169.92,0.17,5.85,29.05,994.02,0.06,55.22,0,0,3,0,9,10,27,13,5,false
22,3,1,3,229,1335.73,0.04,25.08,53.25,33504.61,0.45,1861.37,1,4,5,0,21,36,143,86,5,false
27,4,1,3,75,360.55,0.09,11.7,30.82,4218.45,0.12,234.36,0,3,9,0,13,15,48,27,7,false
3,1,1,1,12,39.86,0.29,3.5,11.39,139.52,0.01,7.75,0,0,0,0,7,3,9,3,1,false
7,2,1,1,27,105.49,0.08,12,8.79,1265.83,0.04,70.32,0,0,1,0,10,5,15,12,3,false
3,1,1,1,14,48.43,0.23,4.38,11.07,211.89,0.02,11.77,0,0,0,0,7,4,9,5,1,false
7,1,1,1,29,110.41,0.21,4.88,22.65,538.26,0.04,29.9,0,0,0,0,6,8,16,13,1,false
9,3,1,1,41,170.97,0.07,14.14,12.09,2417.96,0.06,134.33,0,0,1,0,11,7,23,18,5,false
11,3,1,1,49,215.22,0.07,14.67,14.67,3156.61,0.07,175.37,0,0,1,0,12,9,27,22,5,false
4,1,1,1,13,39,0.33,3,13,117,0.01,6.5,0,0,0,0,4,4,7,6,1,false
3,1,1,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,0,5,2,5,2,1,false
12,3,1,1,51,227.43,0.1,10.42,21.83,2369.07,0.08,131.62,0,0,1,0,10,12,26,25,5,false
31,4,1,2,141,829.45,0.05,21.52,38.55,17846.19,0.28,991.46,1,19,15,0,27,32,90,51,7,true
29,5,1,3,111,641.73,0.08,12.33,52.03,7914.68,0.21,439.7,4,22,27,0,22,33,74,37,9,true
71,10,8,9,211,1251.39,0.04,27.11,46.15,33930.43,0.42,1885.02,6,45,30,0,26,35,138,73,19,true
15,2,1,2,74,385.5,0.07,14.25,27.05,5493.37,0.13,305.19,0,7,9,0,19,18,47,27,3,true
33,6,1,5,172,989.84,0.05,18.46,53.63,18269.63,0.33,1014.98,7,30,31,0,19,35,104,68,11,true
92,4,1,4,822,6234.84,0.04,26.64,234.02,166113.93,2.08,9228.55,7,46,62,0,24,168,449,373,7,true
44,7,1,7,269,1746.31,0.05,22.12,78.96,38620.28,0.58,2145.57,6,14,36,0,25,65,154,115,13,true
143,13,1,12,695,4996.93,0.04,28.52,175.18,142535.33,1.67,7918.63,11,57,93,0,24,122,405,290,25,true
196,37,21,26,1177,9135.35,0.01,71.54,127.7,653537.1,3.05,36307.62,14,170,155,0,52,165,723,454,71,true
12,1,1,1,37,159.91,0.11,9,17.77,1439.2,0.05,79.96,0,1,7,0,12,8,25,12,1,true
12,1,1,1,37,159.91,0.11,9,17.77,1439.2,0.05,79.96,0,1,7,0,12,8,25,12,1,true
133,30,1,26,605,4185.91,0.01,77.46,54.04,324260.81,1.4,18014.49,3,91,55,0,50,71,385,220,34,true
28,3,1,2,104,557.19,0.07,15.24,36.57,8490.44,0.19,471.69,0,11,9,0,20,21,72,32,5,true
91,20,9,4,568,3740.26,0.02,51.47,72.67,192513.32,1.25,10695.18,20,96,46,0,28,68,318,250,39,true
41,4,3,3,129,745.8,0.08,13.19,56.52,9840.36,0.25,546.69,0,12,1,0,19,36,79,50,7,true
149,20,1,18,702,5081.36,0.03,29.58,171.78,150305.78,1.69,8350.32,0,62,10,0,32,119,482,220,37,true
411,73,30,41,1500,12749.77,0.02,43.41,293.68,553518.63,4.25,30751.03,45,339,42,0,48,314,932,568,141,true
121,15,3,12,537,3817.28,0.04,23.26,164.09,88801.93,1.27,4933.44,3,29,16,0,24,114,316,221,29,true
130,20,9,10,607,4282.56,0.02,51.6,83,220979.91,1.43,12276.66,23,65,12,0,38,95,349,258,37,true
79,12,4,6,201,1227.81,0.07,13.73,89.42,16858.82,0.41,936.6,14,78,2,0,17,52,117,84,23,true
57,9,1,7,213,1318.43,0.03,29.27,45.05,38588.27,0.44,2143.79,6,7,6,0,32,41,138,75,15,true
49,7,1,5,229,1341.48,0.07,13.6,98.6,18250.34,0.45,1013.91,6,4,3,0,15,43,151,78,13,true
58,10,5,1,187,1038.71,0.03,33.52,30.99,34816.7,0.35,1934.26,6,6,9,0,21,26,104,83,19,true
28,3,1,3,148,835.29,0.05,18.67,44.75,15592.09,0.28,866.23,2,11,40,0,20,30,92,56,5,true
13,3,1,3,38,164.23,0.14,7.33,22.4,1204.38,0.05,66.91,2,0,0,0,11,9,26,12,5,true
